ano,tipo_localizacao,rede,modalidade,grupo,percentual
2016,total,total,ejaensinomedio,4,7.5
2016,rural,pública,ejaensinomedio,3,37.9
2016,urbana,pública,ejaensinomedio,3,28.7
2016,total,pública,ejaensinomedio,3,29.2
2016,rural,privada,ejaensinomedio,3,45.300000000000004
2016,urbana,privada,ejaensinomedio,3,32.7
2016,total,privada,ejaensinomedio,3,32.8
2016,rural,total,ejaensinomedio,4,9.700000000000001
2016,rural,municipal,ejaensinomedio,3,35.4
2016,urbana,privada,ejaensinomedio,4,8.6
2016,total,pública,ejaensinomedio,4,7.4
2016,total,pública,ejaensinomedio,5,5.1000000000000005
2016,rural,privada,ejaensinomedio,5,24.400000000000002
2016,urbana,privada,ejaensinomedio,5,10.1
2016,total,privada,ejaensinomedio,5,10.4
2016,rural,municipal,ejaensinomedio,5,41.4
2016,urbana,municipal,ejaensinomedio,5,3.9
2016,total,municipal,ejaensinomedio,5,6.2
2016,rural,estadual,ejaensinomedio,5,15
2016,rural,privada,ejaensinomedio,4,5.7
2016,urbana,estadual,ejaensinomedio,5,4.6000000000000005
2016,rural,federal,ejaensinomedio,5,2.4
2016,urbana,federal,ejaensinomedio,5,2.3000000000000003
2016,total,federal,ejaensinomedio,5,2.4
2016,rural,total,ejaensinomedio,5,15.700000000000001
2016,urbana,total,ejaensinomedio,5,5.1000000000000005
2016,total,total,ejaensinomedio,5,5.6000000000000005
2016,rural,pública,ejaensinomedio,4,9.8
2016,urbana,pública,ejaensinomedio,4,7.3
2016,total,estadual,ejaensinomedio,5,5.1000000000000005
2016,urbana,municipal,ejaensinomedio,3,34
2016,total,municipal,ejaensinomedio,3,34.1
2016,rural,estadual,ejaensinomedio,3,38.9
2016,urbana,total,ejaensinomedio,2,2.6
2016,total,total,ejaensinomedio,2,2.6
2016,rural,pública,ejaensinomedio,1,34.300000000000004
2016,urbana,pública,ejaensinomedio,1,56.7
2016,total,pública,ejaensinomedio,1,55.6
2016,rural,privada,ejaensinomedio,1,23.5
2016,urbana,privada,ejaensinomedio,1,46.5
2016,total,privada,ejaensinomedio,1,46.300000000000004
2016,rural,total,ejaensinomedio,2,2.5
2016,rural,municipal,ejaensinomedio,1,17.8
2016,total,municipal,ejaensinomedio,1,54.300000000000004
2016,rural,estadual,ejaensinomedio,1,33.7
2016,urbana,estadual,ejaensinomedio,1,56.5
2016,total,estadual,ejaensinomedio,1,55.5
2016,rural,federal,ejaensinomedio,1,68.3
2016,urbana,federal,ejaensinomedio,1,73.4
2016,total,federal,ejaensinomedio,1,72.60000000000001
2016,rural,total,ejaensinomedio,1,34
2016,urbana,municipal,ejaensinomedio,1,56.7
2016,total,federal,ejaensinomedio,2,6.2
2016,urbana,federal,ejaensinomedio,2,6.3
2016,rural,federal,ejaensinomedio,2,5.8
2016,total,estadual,ejaensinomedio,3,29.2
2016,rural,federal,ejaensinomedio,3,12.9
2016,urbana,federal,ejaensinomedio,3,8.9
2016,total,federal,ejaensinomedio,3,9.5
2016,rural,total,ejaensinomedio,3,38.1
2016,urbana,total,ejaensinomedio,3,29.1
2016,total,total,ejaensinomedio,3,29.5
2016,rural,pública,ejaensinomedio,2,2.5
2016,urbana,pública,ejaensinomedio,2,2.7
2016,total,pública,ejaensinomedio,2,2.7
2016,rural,privada,ejaensinomedio,2,1.1
2016,urbana,privada,ejaensinomedio,2,2.1
2016,total,privada,ejaensinomedio,2,2
2016,rural,municipal,ejaensinomedio,2,1
2016,urbana,municipal,ejaensinomedio,2,1.2
2016,total,municipal,ejaensinomedio,2,1.2
2016,rural,estadual,ejaensinomedio,2,2.4
2016,urbana,estadual,ejaensinomedio,2,2.7
2016,total,estadual,ejaensinomedio,2,2.7
2016,total,total,ejaensinomedio,1,54.800000000000004
2016,urbana,pública,ejaensinomedio,5,4.6000000000000005
2016,rural,pública,ejaensinomedio,5,15.5
2016,total,total,ensinofundamentalanosfinais,1,50.9
2016,total,privada,ensinofundamentalanosfinais,4,5.7
2016,rural,municipal,ensinofundamentalanosfinais,4,2.7
2016,urbana,municipal,ensinofundamentalanosfinais,4,4.5
2016,total,municipal,ensinofundamentalanosfinais,4,3.8000000000000003
2016,rural,estadual,ensinofundamentalanosfinais,4,5.5
2016,urbana,estadual,ensinofundamentalanosfinais,4,4.6000000000000005
2016,total,estadual,ensinofundamentalanosfinais,4,4.7
2016,rural,federal,ensinofundamentalanosfinais,4,8.3
2016,urbana,federal,ensinofundamentalanosfinais,4,7.3
2016,total,federal,ensinofundamentalanosfinais,4,7.3
2016,rural,total,ensinofundamentalanosfinais,4,3.2
2016,urbana,total,ensinofundamentalanosfinais,4,4.8
2016,total,total,ensinofundamentalanosfinais,4,4.4
2016,rural,pública,ensinofundamentalanosfinais,3,36.9
2016,urbana,pública,ensinofundamentalanosfinais,3,25.5
2016,total,pública,ensinofundamentalanosfinais,3,28.6
2016,rural,privada,ensinofundamentalanosfinais,3,21
2016,urbana,privada,ensinofundamentalanosfinais,3,18.3
2016,total,privada,ensinofundamentalanosfinais,3,18.3
2016,urbana,privada,ensinofundamentalanosfinais,4,5.7
2016,rural,municipal,ensinofundamentalanosfinais,3,38.300000000000004
2016,rural,privada,ensinofundamentalanosfinais,4,7.4
2016,urbana,pública,ensinofundamentalanosfinais,4,4.6000000000000005
2016,rural,pública,ensinofundamentalanosfinais,5,38
2016,urbana,pública,ensinofundamentalanosfinais,5,7.1000000000000005
2016,total,pública,ensinofundamentalanosfinais,5,15.4
2016,rural,privada,ensinofundamentalanosfinais,5,29
2016,urbana,privada,ensinofundamentalanosfinais,5,15.700000000000001
2016,total,privada,ensinofundamentalanosfinais,5,15.9
2016,rural,municipal,ensinofundamentalanosfinais,5,40.4
2016,urbana,municipal,ensinofundamentalanosfinais,5,10.1
2016,total,municipal,ensinofundamentalanosfinais,5,22.3
2016,rural,estadual,ensinofundamentalanosfinais,5,24.400000000000002
2016,urbana,estadual,ensinofundamentalanosfinais,5,4.8
2016,total,estadual,ensinofundamentalanosfinais,5,6.5
2016,rural,federal,ensinofundamentalanosfinais,5,11.1
2016,urbana,federal,ensinofundamentalanosfinais,5,2
2016,total,federal,ensinofundamentalanosfinais,5,2.2
2016,rural,total,ensinofundamentalanosfinais,5,37.9
2016,urbana,total,ensinofundamentalanosfinais,5,8.9
2016,total,total,ensinofundamentalanosfinais,5,15.6
2016,rural,pública,ensinofundamentalanosfinais,4,3.1
2016,total,pública,ensinofundamentalanosfinais,4,4.2
2016,urbana,municipal,ensinofundamentalanosfinais,3,29.2
2016,rural,estadual,ensinofundamentalanosfinais,3,28.900000000000002
2016,urbana,total,ensinofundamentalanosfinais,1,59.6
2016,rural,total,ensinofundamentalanosfinais,2,0.6
2016,urbana,total,ensinofundamentalanosfinais,2,2.7
2016,total,total,ensinofundamentalanosfinais,2,2.2
2016,rural,pública,ensinofundamentalanosfinais,1,21.400000000000002
2016,urbana,pública,ensinofundamentalanosfinais,1,60.2
2016,total,pública,ensinofundamentalanosfinais,1,49.7
2016,rural,privada,ensinofundamentalanosfinais,1,40.5
2016,total,municipal,ensinofundamentalanosfinais,3,32.9
2016,total,privada,ensinofundamentalanosfinais,1,57.2
2016,rural,municipal,ensinofundamentalanosfinais,1,18.2
2016,urbana,municipal,ensinofundamentalanosfinais,1,54.7
2016,total,municipal,ensinofundamentalanosfinais,1,39.9
2016,rural,estadual,ensinofundamentalanosfinais,1,39.4
2016,urbana,estadual,ensinofundamentalanosfinais,1,64.7
2016,total,estadual,ensinofundamentalanosfinais,1,62.4
2016,rural,federal,ensinofundamentalanosfinais,1,77.8
2016,urbana,federal,ensinofundamentalanosfinais,1,83.5
2016,total,federal,ensinofundamentalanosfinais,1,83.4
2016,rural,total,ensinofundamentalanosfinais,1,21.5
2016,total,federal,ensinofundamentalanosfinais,2,1.8
2016,urbana,federal,ensinofundamentalanosfinais,2,1.8
2016,urbana,privada,ensinofundamentalanosfinais,1,57.4
2016,total,estadual,ensinofundamentalanosfinais,2,3.4
2016,rural,federal,ensinofundamentalanosfinais,2,0
2016,urbana,estadual,ensinofundamentalanosfinais,3,22.3
2016,total,estadual,ensinofundamentalanosfinais,3,23
2016,rural,federal,ensinofundamentalanosfinais,3,2.8000000000000003
2016,urbana,federal,ensinofundamentalanosfinais,3,5.4
2016,total,federal,ensinofundamentalanosfinais,3,5.3
2016,urbana,total,ensinofundamentalanosfinais,3,24
2016,total,total,ensinofundamentalanosfinais,3,26.900000000000002
2016,rural,pública,ensinofundamentalanosfinais,2,0.6
2016,rural,total,ensinofundamentalanosfinais,3,36.800000000000004
2016,total,pública,ensinofundamentalanosfinais,2,2.1
2016,urbana,pública,ensinofundamentalanosfinais,2,2.6
2016,rural,estadual,ensinofundamentalanosfinais,2,1.8
2016,total,municipal,ensinofundamentalanosfinais,2,1.1
2016,urbana,municipal,ensinofundamentalanosfinais,2,1.5
2016,urbana,estadual,ensinofundamentalanosfinais,2,3.6
2016,total,privada,ensinofundamentalanosfinais,2,2.9
2016,urbana,privada,ensinofundamentalanosfinais,2,2.9
2016,rural,privada,ensinofundamentalanosfinais,2,2.1
